Q2center,Q2low,Q2high,xsec,xsec_err_tot
0.0188,0.0125,0.025,3.06,188.1488772222678
0.0313,0.025,0.0375,0.779,76.15773105863909
0.0438,0.0375,0.05,0.596,58.05170109479997
0.075,0.05,0.1,1.25,40.3732584763727
0.125,0.1,0.15,1.13,23.53720459187964
0.175,0.15,0.2,0.962,16.852299546352718
0.25,0.2,0.3,0.979,13.564659966250536
0.35,0.3,0.4,0.821,10.198039027185569
0.5,0.4,0.6,0.49,7.810249675906654
0.7,0.6,0.8,0.296,6.180614856144977
0.9,0.8,1.0,0.206,5.167204273105526
1.1,1.0,1.2,0.138,3.8340579025361627
1.6,1.2,2.0,0.0561,1.5684387141358123
3.0,2.0,4.0,0.0112,0.565685424949238
5.0,4.0,6.0,0.00587,0.4404543109109048
